model,split,macro_f1,micro_f1,macro_precision,macro_recall,subset_accuracy
logreg,val,0.40636124642527943,0.4726930320150659,0.3673320130637204,0.46042393847900853,0.4737654320987654
logreg,test,0.4355946589077746,0.5486899893987581,0.36361744599416523,0.5525100705015255,0.24745922949657292
svm,val,0.4003071730495374,0.4754262788365095,0.3801840422638272,0.4244606305397465,0.4691358024691358
svm,test,0.4219524117747726,0.5431593919459508,0.40161114477738713,0.45269970533696086,0.29662018435358073
